# Per-ROM metadata facts across the full 287-ROM corpus, 2026-08-05.
# Produced by examples/probe_rom_facts.rs (one pass, ~7s wall clock).
#
# Columns: rom, code_span_class, span_concentration, table_outcome,
#          candidate_tables, admitted_tables, container_streams, schemes
#
# TWO KINDS OF FACT, and reading them together is the point:
#   code_span / containers  PERMANENT properties of the image. They do
#                           not move as fn64 improves, so they bound what
#                           is even findable.
#   table_outcome           CURRENT BUILD capability. Moves as descriptor
#                           families are added.
#
# Distributions:
#   code span     SingleBank 232   MultiSpan 32   MostlySingleBank 23
#   table search  NoCandidates 229  UniqueTable 29  Ambiguous 19
#                 CandidatesNoneAdmitted 10
#   containers    none 233  Gzip 39  Mio0 10  Gzip+Mio0 3  Gzip+Yaz0 2
#
# THE JOINT VIEW -- of the 239 ROMs with no usable table:
#   217  COMPLETE: single-bank, no overlay geometry to recover
#    22  MISS: multi-span, code the overlay search did not account for
#
# So the real overlay-discovery work list is 22 ROMs. Earlier planning in
# this session put it at 229 -- a 10x overcount -- because 'no table
# found' was not separable from 'no table exists'.
#
# Corroboration: OoT reports Yaz0:1457, matching the 1457/1510 compressed
# dmadata entries measured independently. Mario Kart 64 reports Mio0:3354,
# matching its separately counted MIO0 stream total.
#
# CAVEAT: SingleBank is a weak signal, not proof of absence. WM2000 is
# SingleBank at 1.00 and HAS overlays -- they load from inside the same
# span. Sound in aggregate, unsound as a per-ROM verdict.
rom	code_span	concentration	table_outcome	candidates	admitted	streams	schemes
Chameleon Twist 2 (USA)	MostlySingleBank	0.94	NoCandidates	0	0	0	-
Charlie Blast's Territory (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Chopper Attack (USA)	SingleBank	1.00	NoCandidates	0	0	3	Gzip:3
Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan)	SingleBank	1.00	NoCandidates	0	0	0	-
Clay Fighter - Sculptor's Cut (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Clay Fighter 63 1-3 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Command & Conquer (Europe) (En,Fr)	MultiSpan	0.64	NoCandidates	0	0	0	-
Conker's Bad Fur Day (U) [Trad-FR]	MostlySingleBank	0.93	NoCandidates	0	0	0	-
Conker's Bad Fur Day (Uncensored)	MostlySingleBank	0.93	NoCandidates	0	0	0	-
Cruis'n Exotica (USA)	SingleBank	1.00	CandidatesNoneAdmitted	5	0	0	-
Cruis'n USA (USA) (Rev B)	SingleBank	1.00	UniqueTable	2	1	0	-
Cruis'n World (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
CyberTiger (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Dark Rift (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Deadly Arts (USA)	MultiSpan	0.66	AmbiguousTables { admitted: 3 }	10	3	1	Gzip:1
Densha de Go! 64 (Japan)	SingleBank	1.00	NoCandidates	0	0	0	-
Destruction Derby 64 (USA)	SingleBank	1.00	CandidatesNoneAdmitted	6	0	0	-
Dezaemon 3D (Japan)	MultiSpan	0.58	UniqueTable	2	1	0	-
Diddy Kong Racing (USA) (En,Fr) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
Dinomod_Enhanced_2022-09-08	MostlySingleBank	0.84	NoCandidates	0	0	2	Gzip:2
Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)	SingleBank	1.00	NoCandidates	0	0	0	-
Donkey Kong 64 (Europe) (En,Fr,De,Es)	SingleBank	1.00	NoCandidates	0	0	4332	Gzip:4332
Doom 64 (USA) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
Dr. Mario 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Dragon Sword 64 (USA) (Proto)	SingleBank	1.00	NoCandidates	0	0	0	-
Dual Heroes (USA)	SingleBank	1.00	AmbiguousTables { admitted: 2 }	10	2	0	-
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es)	MostlySingleBank	0.95	NoCandidates	0	0	3686	Mio0:3686
Duke Nukem - Zero Hour (France)	SingleBank	1.00	NoCandidates	0	0	0	-
Duke Nukem 64 (France)	SingleBank	1.00	NoCandidates	0	0	0	-
ECW Hardcore Revolution (USA)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)	SingleBank	1.00	NoCandidates	0	0	0	-
Excitebike 64 (USA) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
Extreme-G (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
F-1 World Grand Prix (France)	SingleBank	0.99	NoCandidates	0	0	1744	Mio0:1744
F-1 World Grand Prix II (Europe) (En,Fr,De,Es)	SingleBank	1.00	NoCandidates	0	0	2172	Mio0:2171,Gzip:1
F-Zero X (USA)	SingleBank	1.00	NoCandidates	0	0	434	Mio0:433,Gzip:1
F1 Pole Position 64 (USA) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
F1 Racing Championship (Europe) (En,Fr,De,Es,It)	SingleBank	1.00	NoCandidates	0	0	0	-
FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)	SingleBank	1.00	NoCandidates	0	0	0	-
FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)	SingleBank	0.99	NoCandidates	0	0	0	-
FIFA Soccer 64 (USA) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	0	-
Fighter Destiny 2 (USA)	SingleBank	1.00	UniqueTable	8	1	0	-
Fighters Destiny (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Fighting Force 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Flying Dragon (USA)	SingleBank	0.98	UniqueTable	8	1	0	-
Forsaken 64 (USA)	SingleBank	0.99	NoCandidates	0	0	0	-
Fox Sports College Hoops '99 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
GT64 - Championship Edition (USA)	MultiSpan	0.68	AmbiguousTables { admitted: 2 }	25	2	0	-
Gauntlet Legends (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Gex 3 - Deep Cover Gecko (Europe) (Fr,De)	SingleBank	1.00	AmbiguousTables { admitted: 2 }	48	2	0	-
Gex 64 - Enter the Gecko (Europe)	SingleBank	1.00	UniqueTable	8	1	0	-
Glover (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Goemon's Great Adventure (USA)	SingleBank	0.99	CandidatesNoneAdmitted	4	0	0	-
Harvest Moon 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Hercules - The Legendary Journeys (Europe) (En,Fr,De,Es,It,Nl)	SingleBank	1.00	NoCandidates	0	0	0	-
Hexen (France)	SingleBank	1.00	NoCandidates	0	0	0	-
Hot Wheels - Turbo Racing (USA)	SingleBank	1.00	CandidatesNoneAdmitted	40	0	1	Gzip:1
Hybrid Heaven (USA)	MostlySingleBank	0.90	NoCandidates	0	0	0	-
Hydro Thunder (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Iggy's Reckin' Balls (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
In-Fisherman - Bass Hunter 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Indiana Jones and the Infernal Machine (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Indy Racing 2000 (USA)	MostlySingleBank	0.82	NoCandidates	0	0	2081	Mio0:2081
International Superstar Soccer '98 (USA)	MultiSpan	0.58	NoCandidates	0	0	0	-
International Superstar Soccer 2000 (Europe) (Fr,It)	MostlySingleBank	0.83	NoCandidates	0	0	0	-
International Superstar Soccer 64 (USA)	MultiSpan	0.52	NoCandidates	0	0	0	-
International Track & Field 2000 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Jeremy McGrath Supercross 2000 (USA)	MultiSpan	0.74	NoCandidates	0	0	0	-
Jet Force Gemini (Europe) (En,Fr,De,Es)	MultiSpan	0.60	NoCandidates	0	0	0	-
John Romero's Daikatana (Europe) (En,Fr,De)	MostlySingleBank	0.85	AmbiguousTables { admitted: 3 }	378	3	0	-
Ken Griffey Jr.'s Slugfest (USA)	SingleBank	0.95	NoCandidates	0	0	1	Gzip:1
Killer Instinct Gold (USA) (Rev B)	SingleBank	1.00	NoCandidates	0	0	0	-
Kirby 64 - The Crystal Shards (Europe)	SingleBank	1.00	UniqueTable	2	1	0	-
Knife Edge - Nose Gunner (USA)	MultiSpan	0.55	UniqueTable	103	1	0	-
Knockout Kings 2000 (USA)	SingleBank	1.00	NoCandidates	0	0	2	Gzip:2
Kobe Bryant's NBA Courtside (USA)	SingleBank	0.98	NoCandidates	0	0	0	-
LEGO Racers (USA) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	SingleBank	1.00	NoCandidates	0	0	0	-
Legend of Zelda, The - Majora's Mask (Europe) (En,Fr,De,Es) (Rev A)	MostlySingleBank	0.84	NoCandidates	0	0	2450	Yaz0:2447,Gzip:3
Legend of Zelda, The - Ocarina of Time (Europe) (En,Fr,De) (Rev A)	MultiSpan	0.75	NoCandidates	0	0	1458	Yaz0:1457,Gzip:1
Lode Runner 3-D (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Lylat Wars (Europe) (En,Fr,De)	SingleBank	0.99	NoCandidates	0	0	62	Mio0:62
MRC - Multi Racing Championship (USA)	SingleBank	0.99	AmbiguousTables { admitted: 4 }	20	4	0	-
Mace - The Dark Age (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Madden Football 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Magical Tetris Challenge (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Mario Golf (Europe)	SingleBank	1.00	UniqueTable	6	1	0	-
Mario Kart 64 (Europe) (Rev A)	SingleBank	1.00	NoCandidates	0	0	3354	Mio0:3354
Mario Party (Europe) (En,Fr,De)	SingleBank	1.00	AmbiguousTables { admitted: 8 }	18	8	1	Gzip:1
Mario Party 2 (Europe) (En,Fr,De,Es,It)	SingleBank	1.00	AmbiguousTables { admitted: 3 }	12	3	0	-
Mario Party 3 (Europe) (En,Fr,De,Es)	SingleBank	1.00	AmbiguousTables { admitted: 2 }	12	2	0	-
Mario Tennis (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Mega Man 64 (USA)	SingleBank	1.00	UniqueTable	2	1	2	Gzip:2
Mia Hamm Soccer 64 (USA) (En,Es)	SingleBank	1.00	CandidatesNoneAdmitted	1	0	0	-
Mickey's Speedway USA (Europe) (En,Fr,De,Es,It)	MultiSpan	0.65	NoCandidates	0	0	0	-
Micro Machines 64 Turbo (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Midway's Greatest Arcade Hits - Volume 1 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Mike Piazza's StrikeZone (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Milo's Astro Lanes (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Mischief Makers (USA) (Rev A)	MultiSpan	0.54	NoCandidates	0	0	0	-
Mission Impossible (France)	SingleBank	1.00	NoCandidates	0	0	0	-
Monaco Grand Prix (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Monster Truck Madness 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Mortal Kombat 4 (USA)	SingleBank	1.00	CandidatesNoneAdmitted	2	0	0	-
Mortal Kombat Mythologies - Sub-Zero (USA)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
Mortal Kombat Trilogy (USA) (Rev A)	SingleBank	0.96	UniqueTable	28	1	0	-
Ms. Pac-Man - Maze Madness (USA)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
Mystical Ninja Starring Goemon (Europe)	MultiSpan	0.76	NoCandidates	0	0	0	-
NASCAR 2000 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
NASCAR 99 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
NBA Courtside 2 featuring Kobe Bryant (USA)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
NBA Hangtime (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
NBA Jam 2000 (USA)	MostlySingleBank	0.93	NoCandidates	0	0	0	-
NBA Jam 99 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
NBA Live 2000 (USA) (En,Fr,De,Es)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
NBA Live 99 (USA) (En,Fr,De,Es,It)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
NBA Showtime - NBA on NBC (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
NBA in the Zone '98 (USA)	SingleBank	0.98	NoCandidates	0	0	0	-
NBA in the Zone '99 (USA)	MultiSpan	0.74	NoCandidates	0	0	0	-
NBA in the Zone 2000 (USA)	MultiSpan	0.56	NoCandidates	0	0	0	-
NHL 99 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
NHL Blades of Steel '99 (USA)	SingleBank	1.00	UniqueTable	4	1	0	-
NHL Breakaway 98 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
NHL Breakaway 99 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Nagano Winter Olympics '98 (USA)	SingleBank	1.00	AmbiguousTables { admitted: 2 }	12	2	0	-
Namco Museum 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
New Tetris, The (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Nightmare Creatures (USA)	SingleBank	1.00	NoCandidates	0	0	3	Gzip:3
Nuclear Strike 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Off Road Challenge (USA)	MostlySingleBank	0.85	UniqueTable	2	1	0	-
Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev A)	SingleBank	1.00	AmbiguousTables { admitted: 2 }	6	2	0	-
Olympic Hockey 98 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
PGA European Tour (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Paper Mario (Europe) (En,Fr,De,Es)	MultiSpan	0.52	AmbiguousTables { admitted: 12 }	144	12	0	-
Paperboy (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Penny Racers (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Perfect Dark (Europe) (En,Fr,De,Es,It)	MostlySingleBank	0.88	NoCandidates	0	0	0	-
Pilotwings 64 (Europe) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	1480	Mio0:1479,Gzip:1
Pokemon Puzzle League (France)	SingleBank	1.00	NoCandidates	0	0	0	-
Pokemon Snap (France)	MultiSpan	0.33	AmbiguousTables { admitted: 3 }	7	3	0	-
Pokemon Stadium (France)	MultiSpan	0.74	NoCandidates	0	0	1	Gzip:1
Pokemon Stadium 2 (France)	SingleBank	0.99	NoCandidates	0	0	0	-
Polaris SnoCross (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Power Rangers - Lightspeed Rescue (USA)	SingleBank	1.00	NoCandidates	0	0	2	Gzip:2
Powerpuff Girls, The - Chemical X-Traction (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Puyo Puyo 4 - Puyo Puyon Party (Japan)	SingleBank	1.00	NoCandidates	0	0	0	-
Quake 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Quake II (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Quest 64 (USA)	MostlySingleBank	0.89	UniqueTable	8	1	0	-
RR64 - Ridge Racer 64 (USA)	MultiSpan	0.72	NoCandidates	0	0	1	Gzip:1
Rally Challenge 2000 (USA)	SingleBank	1.00	UniqueTable	2	1	0	-
Rampage - World Tour (USA)	MostlySingleBank	0.89	NoCandidates	0	0	0	-
Rampage 2 - Universal Tour (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Rat Attack! (USA) (En,Fr,De,Es,It,Nl)	SingleBank	1.00	NoCandidates	0	0	0	-
Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)	SingleBank	1.00	NoCandidates	0	0	0	-
Razmoket, Les - La Chasse aux Tresors (France)	SingleBank	1.00	NoCandidates	0	0	2	Gzip:2
Razor Freestyle Scooter (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Re-Volt (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Ready 2 Rumble Boxing (Europe) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	0	-
Ready 2 Rumble Boxing (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Resident Evil 2 (Europe) (En,Fr)	SingleBank	1.00	NoCandidates	0	0	0	-
Road Rash 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Roadsters (USA) (En,Fr,Es)	MultiSpan	0.75	CandidatesNoneAdmitted	8	0	0	-
Robotron 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Rocket - Robot on Wheels (USA)	SingleBank	1.00	AmbiguousTables { admitted: 2 }	7	2	0	-
Rugrats in Paris - The Movie (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Rush 2 - Extreme Racing USA (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
S.C.A.R.S. (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
SD Hiryuu no Ken Densetsu (Japan)	SingleBank	0.98	UniqueTable	8	1	0	-
San Francisco Rush - Extreme Racing (USA) (En,Fr,De) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
San Francisco Rush 2049 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Scooby-Doo! - Classic Creep Capers (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Shadow Man (France)	MostlySingleBank	0.82	NoCandidates	0	0	0	-
Shadowgate 64 - Trials of the Four Towers (Europe) (Fr,De,Nl)	SingleBank	1.00	NoCandidates	0	0	0	-
Sin and Punishment - Successor of the Earth (Japan) [Trad-En]	MultiSpan	0.34	NoCandidates	0	0	0	-
Snowboard Kids (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Snowboard Kids 2 (USA)	MostlySingleBank	0.85	CandidatesNoneAdmitted	2	0	0	-
South Park (Europe) (En,Fr,Es)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
South Park - Chef's Luv Shack (USA)	MultiSpan	0.75	NoCandidates	0	0	0	-
South Park Rally (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Space Invaders (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
SpaceStation Silicon Valley (USA)	MultiSpan	0.70	NoCandidates	0	0	0	-
Spider-Man (USA)	SingleBank	1.00	NoCandidates	0	0	2	Gzip:2
Star Soldier - Vanishing Earth (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Star Wars - Rogue Squadron (Europe) (En,Fr,De) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
Star Wars - Shadows of the Empire (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Star Wars Episode I - Battle for Naboo (Europe)	SingleBank	1.00	NoCandidates	0	0	0	-
Star Wars Episode I - Racer (Europe) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	0	-
StarCraft 64 (USA)	SingleBank	1.00	NoCandidates	0	0	2	Gzip:2
Starshot - Space Circus Fever (USA) (En,Fr,Es)	SingleBank	1.00	NoCandidates	0	0	0	-
Stunt Racer 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Super Bowling (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Super Mario 64 (Europe) (En,Fr,De)	MostlySingleBank	0.84	NoCandidates	0	0	82	Mio0:82
Super Mario 64 (USA)	MostlySingleBank	0.84	NoCandidates	0	0	79	Mio0:79
Super Smash Bros. (Europe) (En,Fr,De)	SingleBank	1.00	AmbiguousTables { admitted: 5 }	24	5	0	-
Supercross 2000 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Superman (Europe) (En,Fr,De,Es,It,Nl)	SingleBank	0.98	CandidatesNoneAdmitted	8	0	0	-
Tarzan (France)	SingleBank	1.00	UniqueTable	31	1	0	-
Taz Express (Europe) (En,Fr,De,Es,It,Nl)	SingleBank	1.00	NoCandidates	0	0	0	-
Tetrisphere (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Tigger's Honey Hunt (USA)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
Tom Clancy's Rainbow Six (France)	SingleBank	1.00	NoCandidates	0	0	0	-
Tom and Jerry in Fists of Furry (Europe) (En,Fr,De,Es,It,Nl)	SingleBank	1.00	NoCandidates	0	0	0	-
Tonic Trouble (Europe) (En,Fr,De,Es,It)	SingleBank	1.00	NoCandidates	0	0	0	-
Tony Hawk's Pro Skater (USA) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
Tony Hawk's Pro Skater 2 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Tony Hawk's Pro Skater 3 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Top Gear Hyper-Bike (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Top Gear Overdrive (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Top Gear Rally (USA)	SingleBank	1.00	UniqueTable	16	1	0	-
Top Gear Rally 2 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Toy Story 2 - Buzz l'Eclair a la Rescousse! (France)	SingleBank	1.00	NoCandidates	0	0	0	-
Transformers - Beast Wars Transmetals (USA)	MostlySingleBank	0.94	NoCandidates	0	0	0	-
Triple Play 2000 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Turok - Dinosaur Hunter (Europe) (Rev A)	SingleBank	1.00	NoCandidates	0	0	0	-
Turok - Rage Wars (Europe) (En,Fr,It)	SingleBank	1.00	NoCandidates	0	0	0	-
Turok 2 - Seeds of Evil (Europe) (En,Fr,Es,It)	MultiSpan	0.75	NoCandidates	0	0	1	Gzip:1
Turok 3 - Shadow of Oblivion (Europe)	SingleBank	1.00	NoCandidates	0	0	1	Gzip:1
Twisted Edge - Extreme Snowboarding (USA)	SingleBank	1.00	UniqueTable	2	1	0	-
V-Rally Edition 99 (Europe) (En,Fr,De)	SingleBank	1.00	NoCandidates	0	0	0	-
Viewpoint 2064 (USA) (Unreleased)	MultiSpan	0.74	NoCandidates	0	0	0	-
Vigilante 8 (France)	SingleBank	1.00	NoCandidates	0	0	0	-
Vigilante 8 - 2nd Offense (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Virtual Pool 64 (USA)	SingleBank	1.00	NoCandidates	0	0	0	-
Virtual Pro Wrestling 2 - Oudou Keishou (Japan)	SingleBank	1.00	UniqueTable	2	1	0	-
